GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-demo,com.demo,StudentGrade,6,40,4,14,3,15,4,7,0,2
jacoco-demo,com.demo,App,0,8,0,0,0,3,0,2,0,2
